Time,AVG(temperature)
2022-11-21 23:37:57,24.4889
2022-11-21 23:38:02,24.5023
2022-11-21 23:38:07,24.4969
2022-11-21 23:38:12,24.5023
2022-11-21 23:38:16,24.5023
2022-11-21 23:38:21,24.4622
2022-11-21 23:38:26,24.4489
2022-11-21 23:38:31,24.4595
2022-11-21 23:38:35,24.4275
2022-11-21 23:38:40,24.4435
2022-11-21 23:38:45,24.4382
2022-11-21 23:38:50,24.4275
2022-11-21 23:38:55,24.4355
2022-11-21 23:39:00,24.4168
2022-11-21 23:39:04,24.4622
2022-11-21 23:39:09,24.4462
2022-11-21 23:39:14,24.4595
2022-11-21 23:39:19,24.4542
2022-11-21 23:39:23,24.4702
2022-11-21 23:39:28,24.4862
2022-11-21 23:39:33,24.4969
2022-11-21 23:39:38,24.4889
2022-11-21 23:39:43,24.5049
2022-11-21 23:39:47,24.5717
2022-11-21 23:39:52,24.5797
2022-11-21 23:39:57,24.6438
2022-11-21 23:40:02,24.6331
2022-11-21 23:40:07,24.6358
2022-11-21 23:40:11,24.6224
2022-11-21 23:40:16,24.6198
2022-11-21 23:40:21,24.6117
2022-11-21 23:40:26,24.6304
2022-11-21 23:40:31,24.6037
2022-11-21 23:40:35,24.6358
2022-11-21 23:40:40,24.6625
2022-11-21 23:40:45,24.7132
2022-11-21 23:40:50,24.7426
2022-11-21 23:40:55,24.7639
2022-11-21 23:40:59,24.7479
2022-11-21 23:41:04,24.7693
2022-11-21 23:41:09,24.7639
2022-11-21 23:41:14,24.7506
2022-11-21 23:41:18,24.772
2022-11-21 23:41:23,24.7426
2022-11-21 23:41:28,24.7399
2022-11-21 23:41:33,24.7292
2022-11-21 23:41:38,24.7186
2022-11-21 23:41:43,24.7052
2022-11-21 23:41:47,24.6812
2022-11-21 23:41:52,24.6625
2022-11-21 23:41:57,24.6438
2022-11-21 23:42:02,24.6304
2022-11-21 23:42:07,24.6304
2022-11-21 23:42:11,24.6571
2022-11-21 23:42:16,24.7159
2022-11-21 23:42:21,24.7506
2022-11-21 23:42:26,24.8494
2022-11-21 23:42:30,24.9188
2022-11-21 23:42:35,24.9989
2022-11-21 23:42:40,25.047
2022-11-21 23:42:45,25.047
2022-11-21 23:42:50,25.0603
2022-11-21 23:42:54,25.039
2022-11-21 23:42:59,25.031
2022-11-21 23:43:04,25.0176
2022-11-21 23:43:09,24.9963
2022-11-21 23:43:14,25.023
2022-11-21 23:43:18,25.0256
2022-11-21 23:43:23,25.0497
2022-11-21 23:43:28,25.0256
2022-11-21 23:43:33,25.0016
2022-11-21 23:43:38,25.0043
2022-11-21 23:43:42,24.9722
2022-11-21 23:43:47,24.9669
2022-11-21 23:43:52,24.9295
2022-11-21 23:43:57,24.9268
2022-11-21 23:44:02,24.9348
2022-11-21 23:44:06,24.9081
2022-11-21 23:44:11,24.8868
2022-11-21 23:44:16,24.8708
2022-11-21 23:44:21,24.8334
2022-11-21 23:44:26,24.8254
2022-11-21 23:44:30,24.804
2022-11-21 23:44:35,24.8334
2022-11-21 23:44:40,24.8093
2022-11-21 23:44:45,24.8093
2022-11-21 23:44:50,24.804
2022-11-21 23:44:54,24.7639
2022-11-21 23:44:59,24.788
2022-11-21 23:45:04,24.7693
2022-11-21 23:45:09,24.7666
2022-11-21 23:45:13,24.7639
2022-11-21 23:45:18,24.78
2022-11-21 23:45:23,24.7906
2022-11-21 23:45:28,24.8441
2022-11-21 23:45:33,24.8627
2022-11-21 23:45:37,24.8601
2022-11-21 23:45:42,24.8654
2022-11-21 23:45:47,24.8387
2022-11-21 23:45:52,24.8174
2022-11-21 23:45:57,24.8067
2022-11-21 23:46:01,24.7773
2022-11-21 23:46:06,24.7773
2022-11-21 23:46:11,24.7693
2022-11-21 23:46:16,24.7613
2022-11-21 23:46:21,24.7453
2022-11-21 23:46:25,24.7399
2022-11-21 23:46:30,24.7639
2022-11-21 23:46:35,24.7399
2022-11-21 23:46:40,24.7212
2022-11-21 23:46:45,24.7346
2022-11-21 23:46:49,24.7159
2022-11-21 23:46:54,24.7372
2022-11-21 23:46:59,24.7052
2022-11-21 23:47:04,24.7105
2022-11-21 23:47:09,24.7346
2022-11-21 23:47:13,24.7586
2022-11-21 23:47:18,24.78
2022-11-21 23:47:23,24.78
2022-11-21 23:47:28,24.8013
2022-11-21 23:47:33,24.7906
2022-11-21 23:47:37,24.788
2022-11-21 23:47:42,24.8093
2022-11-21 23:47:47,24.8067
2022-11-21 23:47:52,24.7773
2022-11-21 23:47:57,24.7826
2022-11-21 23:48:01,24.7933
2022-11-21 23:48:06,24.8067
2022-11-21 23:48:11,24.836
2022-11-21 23:48:16,24.8174
2022-11-21 23:48:20,24.788
2022-11-21 23:48:25,24.7746
2022-11-21 23:48:30,24.7426
2022-11-21 23:48:35,24.7426
2022-11-21 23:48:40,24.7212
2022-11-21 23:48:44,24.6865
2022-11-21 23:48:49,24.6732
2022-11-21 23:48:54,24.6678
2022-11-21 23:48:59,24.6304
2022-11-21 23:49:04,24.6571
2022-11-21 23:49:08,24.6144
2022-11-21 23:49:13,24.6491
2022-11-21 23:49:18,24.6384
2022-11-21 23:49:23,24.6625
2022-11-21 23:49:28,24.6758
2022-11-21 23:49:32,24.6812
2022-11-21 23:49:37,24.6918
2022-11-21 23:49:42,24.7159
2022-11-21 23:49:47,24.7132
2022-11-21 23:49:52,24.7266
2022-11-21 23:49:56,24.7132
2022-11-21 23:50:01,24.7105
2022-11-21 23:50:06,24.7105
2022-11-21 23:50:11,24.6945
2022-11-21 23:50:16,24.6892
2022-11-21 23:50:20,24.6865
2022-11-21 23:50:25,24.6785
2022-11-21 23:50:30,24.6945
2022-11-21 23:50:35,24.7105
2022-11-21 23:50:40,24.7266
2022-11-21 23:50:44,24.7319
2022-11-21 23:50:49,24.7399
2022-11-21 23:50:54,24.7506
2022-11-21 23:50:59,24.7639
2022-11-21 23:51:04,24.7613
2022-11-21 23:51:08,24.7666
2022-11-21 23:51:13,24.772
2022-11-21 23:51:18,24.796
2022-11-21 23:51:23,24.836
2022-11-21 23:51:27,24.8227
2022-11-21 23:51:32,24.8627
2022-11-22 16:39:44,29.4129
2022-11-22 16:39:49,29.0337
2022-11-22 16:39:54,28.7801
2022-11-22 16:39:58,28.5504
2022-11-22 16:40:03,28.3448
2022-11-22 16:40:08,28.1152
2022-11-22 16:40:13,27.9149
2022-11-22 16:40:18,27.7386
2022-11-22 16:40:22,27.5758
2022-11-22 16:40:27,27.4583
2022-11-22 16:40:32,27.3248
2022-11-22 16:40:37,27.1992
2022-11-22 16:40:42,27.0684
2022-11-22 16:40:46,26.8922
2022-11-22 16:40:51,26.7987
2022-11-22 16:40:56,26.6492
2022-11-22 16:41:01,26.5076
2022-11-22 16:41:05,26.3928
2022-11-22 16:41:10,26.2914
2022-11-22 16:41:15,26.1792
2022-11-22 16:41:20,26.0831
2022-11-22 16:41:25,26.0217
2022-11-22 16:41:29,25.9309
2022-11-22 16:41:34,25.8374
2022-11-22 16:41:39,25.776
2022-11-22 16:41:44,25.7333
2022-11-22 16:41:49,25.7039
2022-11-22 16:41:53,25.6718
2022-11-22 20:19:04,29.4823
2022-11-22 20:19:09,29.0471
2022-11-22 20:19:14,28.7801
2022-11-22 20:19:19,28.5184
2022-11-22 20:19:24,28.2994
2022-11-22 20:19:28,28.1205
